Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
1356,Bogra,1948,1,25.8,11.7,8.140625,74.21875,0.875925926,1.1,7.296226415,41883,435303.7,751187.5,24.88,89.36,20,1948.01,
1357,Bogra,1948,2,33.3,13.3,11.140625,66.53125,1.022222222,1.9,8.267924528,41883,435303.7,751187.5,24.88,89.36,20,1948.02,
1358,Bogra,1948,3,38.3,17.4,25.3125,61.8125,1.340740741,2.1,8.573584906,41883,435303.7,751187.5,24.88,89.36,20,1948.03,
1359,Bogra,1948,4,39.5,22.7,69.140625,66.203125,1.740740741,3.7,8.009433962,41883,435303.7,751187.5,24.88,89.36,20,1948.04,
1360,Bogra,1948,5,36.1,23.1,179.890625,76.859375,1.781481481,4.3,7.303773585,41883,435303.7,751187.5,24.88,89.36,20,1948.05,
1361,Bogra,1948,6,33.5,25.7,315.578125,84.4375,1.701851852,5.7,4.939622642,41883,435303.7,751187.5,24.88,89.36,20,1948.06,
1362,Bogra,1948,7,33.1,26.4,363.71875,86.1875,1.577777778,6.2,4.435849057,41883,435303.7,751187.5,24.88,89.36,20,1948.07,1
1363,Bogra,1948,8,33.3,26.4,307.015625,85.671875,1.424074074,6.1,5.001886792,41883,435303.7,751187.5,24.88,89.36,20,1948.08,
1364,Bogra,1948,9,34.7,25.9,269.046875,85.578125,1.205555556,5.9,5.447169811,41883,435303.7,751187.5,24.88,89.36,20,1948.09,
1365,Bogra,1948,10,33.8,22.9,145.984375,82.21875,0.809259259,3.1,7.4,41883,435303.7,751187.5,24.88,89.36,20,1948.1,
1366,Bogra,1948,11,31.9,18.7,12.890625,76.609375,0.631481481,3.9,8.194339623,41883,435303.7,751187.5,24.88,89.36,20,1948.11,
1367,Bogra,1948,12,26.9,12.7,6.390625,75.90625,0.685185185,0.7,7.596226415,41883,435303.7,751187.5,24.88,89.36,20,1948.12,
1368,Bogra,1949,1,27.5,11.9,8.140625,74.21875,0.875925926,0.7,7.296226415,41883,435303.7,751187.5,24.88,89.36,20,1949.01,
1369,Bogra,1949,2,29.7,13.8,11.140625,66.53125,1.022222222,1,8.267924528,41883,435303.7,751187.5,24.88,89.36,20,1949.02,
1370,Bogra,1949,3,34.2,18.2,25.3125,61.8125,1.340740741,1,8.573584906,41883,435303.7,751187.5,24.88,89.36,20,1949.03,
1371,Bogra,1949,4,35.9,22.7,69.140625,66.203125,1.740740741,4.3,8.009433962,41883,435303.7,751187.5,24.88,89.36,20,1949.04,
1372,Bogra,1949,5,34.1,24,179.890625,76.859375,1.781481481,4.2,7.303773585,41883,435303.7,751187.5,24.88,89.36,20,1949.05,
1373,Bogra,1949,6,33.5,25.7,315.578125,84.4375,1.701851852,5.7,4.939622642,41883,435303.7,751187.5,24.88,89.36,20,1949.06,
1374,Bogra,1949,7,32,26.1,363.71875,86.1875,1.577777778,6.1,4.435849057,41883,435303.7,751187.5,24.88,89.36,20,1949.07,1
1375,Bogra,1949,8,32.2,26.2,307.015625,85.671875,1.424074074,7,5.001886792,41883,435303.7,751187.5,24.88,89.36,20,1949.08,
1376,Bogra,1949,9,32.5,25.6,269.046875,85.578125,1.205555556,5.3,5.447169811,41883,435303.7,751187.5,24.88,89.36,20,1949.09,
1377,Bogra,1949,10,32.1,23.2,145.984375,82.21875,0.809259259,3.8,7.4,41883,435303.7,751187.5,24.88,89.36,20,1949.1,
1378,Bogra,1949,11,30.7,18.1,12.890625,76.609375,0.631481481,1,8.194339623,41883,435303.7,751187.5,24.88,89.36,20,1949.11,
1379,Bogra,1949,12,28.1,13.3,6.390625,75.90625,0.685185185,0.3,7.596226415,41883,435303.7,751187.5,24.88,89.36,20,1949.12,
1380,Bogra,1950,1,25.8,11.7,0,68,0.875925926,0.8,7.296226415,41883,435303.7,751187.5,24.88,89.36,20,1950.01,
1381,Bogra,1950,2,29.7,13.8,18,68,1.022222222,1.5,8.267924528,41883,435303.7,751187.5,24.88,89.36,20,1950.02,
1382,Bogra,1950,3,34.2,18.2,36,60,1.340740741,2.1,8.573584906,41883,435303.7,751187.5,24.88,89.36,20,1950.03,
1383,Bogra,1950,4,35.9,22.7,2,45,1.740740741,1.8,8.009433962,41883,435303.7,751187.5,24.88,89.36,20,1950.04,
